feature,p_HC_DP,p_HC_DP
avg BBEon_1,0.023689,-0.440402
avg BBEon_2,0.068999,-0.355201
avg BBEon_3,0.027615,-0.381407
avg BBEon_4,0.006813,-0.469835
avg BBEon_5,0.002928,-0.504544
avg BBEon_6,0.001037,-0.565258
avg BBEon_7,0.000706,-0.614028
avg BBEon_8,0.000576,-0.630722
avg BBEon_9,0.001008,-0.587061
avg BBEon_10,0.000926,-0.593494
avg BBEon_11,0.000602,-0.633752
avg BBEon_12,0.001037,-0.643391
avg BBEon_13,0.001948,-0.595793
avg BBEon_14,0.001226,-0.613643
avg BBEon_15,0.00038,-0.714979
avg BBEon_16,0.000428,-0.677731
avg BBEon_17,0.000132,-0.692368
avg BBEon_18,0.001176,-0.608171
avg BBEon_19,0.006341,-0.524109
avg BBEon_20,0.016898,-0.503751
avg BBEon_21,0.036105,-0.451721
avg BBEon_22,0.000162,-0.78128
avg MFCCon_1,0.686143,0.041939
avg MFCCon_2,2.90E-05,0.818111
avg MFCCon_3,0.058793,-0.343315
avg MFCCon_4,0.133229,0.268368
avg MFCCon_5,0.025718,0.344136
avg MFCCon_6,0.461197,0.195107
avg MFCCon_7,0.874088,0.058299
avg MFCCon_8,0.011604,0.477407
avg MFCCon_9,0.488122,-0.191499
avg MFCCon_10,0.001487,-0.610229
avg MFCCon_11,0.118544,0.288996
avg MFCCon_12,0.13529,-0.237795
avg DMFCCon_1,0.16922,-0.463503
avg DMFCCon_2,0.14817,0.468478
avg DMFCCon_3,0.784578,0.091203
avg DMFCCon_4,0.142694,-0.239896
avg DMFCCon_5,0.127195,0.449024
avg DMFCCon_6,0.80904,0.043094
avg DMFCCon_7,0.905393,0.222554
avg DMFCCon_8,0.072079,0.687102
avg DMFCCon_9,0.554993,0.029867
avg DMFCCon_10,0.83988,-0.024956
avg DMFCCon_11,0.984196,-0.271971
avg DMFCCon_12,0.805972,-0.138344
avg DDMFCCon_1,0.870967,-0.368923
avg DDMFCCon_2,0.87721,0.270693
avg DDMFCCon_3,0.781535,0.196047
avg DDMFCCon_4,0.66875,0.059205
avg DDMFCCon_5,0.724394,0.211533
avg DDMFCCon_6,0.533949,0.330173
