,p_HC_DP,p_HC_DP
F0avg,0.412638,0.022083
F0std,0.08167,-0.051671
F0max,0.003043,-0.057737
F0min,0.546466,0.004791
F0skew,1e-06,-0.091609
F0kurt,0.00033,-0.040767
F0tiltavg,0.111947,-0.006005
F0mseavg,0.081832,0.082788
F0tiltstd,0.142414,0.016385
F0msestd,0.19555,0.062438
F0tiltmax,0.031372,0.02227
F0msemax,0.203254,0.057461
F0tiltmin,0.869664,0.001806
F0msemin,0.678265,0.033366
F0tiltskw,0.023095,0.045396
F0mseskw,0.168224,-0.02455
F0tiltku,0.628722,-0.004412
F0mseku,0.123596,-0.029879
1F0mean,0.319771,0.016332
1F0std,0.975909,0.006535
1F0max,0.548657,0.006016
1F0min,0.578142,0.012774
1F0skw,0.362129,-0.025361
1F0ku,0.148818,-0.031713
lastF0avg,0.435351,0.009373
lastF0std,0.250689,0.047537
lastF0max,0.379584,0.014099
lastF0min,0.531524,-0.008705
lastF0skw,0.010384,-0.043448
lastF0ku,0.135329,-0.027674
avgEvoiced,0.836062,0.003763
stdEvoiced,0.303456,0.02975
skwEvoiced,0.887079,0.014469
kurtosisEvoiced,0.505901,-0.014517
avgtiltEvoiced,0.619911,0.003265
stdtiltEvoiced,0.738313,0.01675
skwtiltEvoiced,0.463668,-0.015055
kurtosistiltEvoiced,0.947559,-0.000794
avgmseEvoiced,0.087715,0.06025
stdmseEvoiced,0.910822,0.023483
skwmseEvoiced,0.100089,-0.0304
kurtosismseEvoiced,0.1903,-0.015548
avg1Evoiced,0.139846,-0.014562
std1Evoiced,0.356798,-0.015358
max1Evoiced,0.056276,-0.024039
min1Evoiced,0.363716,-0.015252
skw1Evoiced,0.154459,-0.036771
kurtosis1Evoiced,0.374564,0.02399
avglastEvoiced,0.204546,-0.018932
stdlastEvoiced,0.113397,-0.037288
maxlastEvoiced,0.120971,-0.01879
minlastEvoiced,0.541531,-0.001318
skwlastEvoiced,0.378212,0.016545
kurtosislastEvoiced,0.389353,0.013929
avgEunvoiced,0.60383,0.012609
stdEunvoiced,0.0,0.099173
skwEunvoiced,0.558623,-0.024899
kurtosisEunvoiced,7.4e-05,-0.085255
avgtiltEunvoiced,0.025972,0.035278
stdtiltEunvoiced,0.0,0.089633
skwtiltEunvoiced,0.12135,0.029277
kurtosistiltEunvoiced,0.035409,0.039541
avgmseEunvoiced,0.0,0.141638
stdmseEunvoiced,0.0,0.143769
skwmseEunvoiced,0.300309,0.022795
kurtosismseEunvoiced,0.389975,0.028296
avg1Eunvoiced,0.819348,-0.000577
std1Eunvoiced,0.683793,0.027306
max1Eunvoiced,0.450105,0.008246
min1Eunvoiced,0.926163,-0.005225
skw1Eunvoiced,0.113144,0.022611
kurtosis1Eunvoiced,0.176659,-0.030583
avglastEunvoiced,0.193064,0.016649
stdlastEunvoiced,0.358344,0.029823
maxlastEunvoiced,0.272469,0.020249
minlastEunvoiced,0.732593,0.002719
skwlastEunvoiced,0.093643,-0.037316
kurtosislastEunvoiced,0.030475,-0.056452
Vrate,0.755379,0.003239
avgdurvoiced,0.514103,0.021963
stddurvoiced,0.25546,0.037934
skwdurvoiced,0.198549,0.029961
kurtosisdurvoiced,0.132294,0.041218
maxdurvoiced,0.1674,0.048203
mindurvoiced,0.302317,0.015992
avgdurunvoiced,5e-06,-0.065866
stddurunvoiced,0.930339,0.002776
skwdurunvoiced,0.151862,0.027691
kurtosisdurunvoiced,0.086545,0.03359
maxdurunvoiced,0.038463,-0.031756
mindurunvoiced,0.007733,-0.05588
avgdurpause,0.831438,-0.006218
stddurpause,0.659265,0.002088
skwdurpause,0.125526,-0.022373
kurtosisdurpause,0.916742,0.008274
maxdurpause,0.66477,-0.006425
mindurpause,0.806837,-0.003739
PVU,0.883049,-0.002378
PU,0.188383,0.012957
UVU,5e-05,-0.081248
VVU,0.80957,-0.061487
VP,0.001715,-0.037224
UP,0.0,-0.10142
