Feature,Accuracy,Precision,Recall
"('pho2',)",0.6331877729257642,0.3214596003475239,0.2915681639085894
"('pro1',)",0.6705240174672489,0.14497041420118342,0.038613081166272656
"('pho1', 'pho4')",0.508296943231441,0.2939203354297694,0.5524034672970843
"('pho1', 'art1')",0.506113537117904,0.2945800579230451,0.5610717100078803
"('pho2', 'pho3')",0.6574235807860263,0.3568702290076336,0.29472025216706066
"('pho2', 'pro1')",0.6100436681222707,0.2936951316839585,0.2899921197793538
"('pho2', 'pro3')",0.6375545851528385,0.3301476976542137,0.2994483845547675
"('pho2', 'art1')",0.604585152838428,0.3398345153664303,0.45311268715524033
"('pho2', 'art3')",0.6397379912663755,0.34868943606036534,0.3459416863672183
"('pho4', 'art1')",0.5080786026200873,0.3123569794050343,0.6453900709219859
"('pro1', 'art1')",0.5165938864628821,0.28610230873698506,0.4980299448384555
"('pho1', 'pho2', 'art1')",0.524235807860262,0.3042168674698795,0.5571315996847912
"('pho1', 'pho4', 'pro1')",0.5041484716157205,0.2869897959183674,0.5319148936170213
"('pho1', 'pho4', 'pro3')",0.5102620087336245,0.2932937181663837,0.5445232466509062
"('pho1', 'pho4', 'pro4')",0.5056768558951965,0.27819884083816315,0.491725768321513
"('pho1', 'pho4', 'art1')",0.5213973799126638,0.3018462859596393,0.55397951142632
"('pho1', 'pho4', 'art2')",0.5305676855895196,0.3294618660472319,0.6706067769897557
"('pho1', 'pho4', 'art3')",0.5109170305676856,0.2969468841488917,0.5594956658786446
"('pho2', 'pho3', 'pro1')",0.6312227074235808,0.31958762886597936,0.29314420803782504
"('pho2', 'pho3', 'pro3')",0.6537117903930131,0.357847533632287,0.3144208037825059
"('pho2', 'pho3', 'art1')",0.5737991266375546,0.33218673218673217,0.5327029156816391
"('pho2', 'pho3', 'art3')",0.6296943231441048,0.35101186322400557,0.3963750985027581
"('pho2', 'pho4', 'art1')",0.506768558951965,0.31362951807228917,0.6564223798266351
"('pho2', 'pro1', 'pro3')",0.6104803493449782,0.2918350848827809,0.2844759653270292
"('pho2', 'pro1', 'art1')",0.5320960698689956,0.29289099526066353,0.48699763593380613
"('pho2', 'pro1', 'art3')",0.6126637554585153,0.31000752445447705,0.32466509062253746
"('pho2', 'pro3', 'art1')",0.5576419213973799,0.32070108953102794,0.5334909377462569
"('pho2', 'pro3', 'art3')",0.6135371179039302,0.3287764866712235,0.37903861308116626
"('pho2', 'art1', 'art3')",0.5122270742358078,0.30614704700683004,0.6004728132387707
"('pho3', 'pho4', 'art1')",0.5010917030567685,0.30830188679245285,0.6438140267927502
"('pho3', 'pro1', 'pro3')",0.5155021834061135,0.2731614135625597,0.4507486209613869
"('pho3', 'pro1', 'art1')",0.5436681222707423,0.29748396645288605,0.475177304964539
"('pho4', 'pro1', 'art1')",0.5203056768558952,0.30666666666666664,0.5799842395587076
"('pho4', 'pro1', 'art2')",0.5024017467248908,0.3180835734870317,0.6958234830575256
"('pro1', 'pro3', 'art1')",0.525764192139738,0.29560887279311904,0.5145784081954294
"('pro1', 'art1', 'art3')",0.5163755458515283,0.29559204840103714,0.5390070921985816
"('pho1', 'pho2', 'pho3', 'pro3')",0.5010917030567685,0.2959839357429719,0.5807722616233254
"('pho1', 'pho2', 'pho3', 'art1')",0.527292576419214,0.30639585133967157,0.5587076438140268
"('pho1', 'pho2', 'pho3', 'art2')",0.5013100436681223,0.32098765432098764,0.7171000788022065
"('pho1', 'pho2', 'pho4', 'pro1')",0.504585152838428,0.29591836734693877,0.5713159968479118
"('pho1', 'pho2', 'pho4', 'pro4')",0.5117903930131005,0.2878455462922334,0.5169424743892829
"('pho1', 'pho2', 'pho4', 'art1')",0.5120087336244541,0.299917149958575,0.570527974783294
"('pho1', 'pho2', 'pho4', 'art2')",0.5187772925764192,0.3225806451612903,0.6698187549251379
"('pho1', 'pho2', 'pho4', 'art3')",0.5093886462882096,0.30234438156831045,0.5894405043341213
"('pho1', 'pho2', 'pro1', 'art1')",0.5205240174672489,0.2951833848873177,0.5263987391646966
"('pho1', 'pho2', 'pro1', 'art2')",0.5058951965065502,0.31834795321637427,0.6863672182821119
"('pho1', 'pho2', 'pro3', 'art1')",0.5200873362445415,0.30259243518912027,0.5610717100078803
"('pho1', 'pho2', 'pro3', 'art3')",0.506768558951965,0.30450236966824645,0.607565011820331
"('pho1', 'pho2', 'pro4', 'art1')",0.5024017467248908,0.2823275862068966,0.5161544523246651
"('pho1', 'pho2', 'pro4', 'art3')",0.506768558951965,0.285528596187175,0.5193065405831363
"('pho1', 'pho2', 'art1', 'art3')",0.5124454148471616,0.300990916597853,0.574468085106383
"('pho1', 'pho2', 'art1', 'art4')",0.5010917030567685,0.2823479005998286,0.5193065405831363
"('pho1', 'pho2', 'art2', 'art3')",0.5056768558951965,0.32439110483586303,0.7241922773837668
"('pho1', 'pho3', 'pho4', 'pro4')",0.5006550218340612,0.278503046127067,0.5043341213553979
"('pho1', 'pho3', 'pho4', 'art1')",0.5054585152838428,0.3014354066985646,0.5957446808510638
"('pho1', 'pho3', 'pho4', 'art2')",0.5141921397379913,0.32217261904761907,0.6824271079590228
"('pho1', 'pho3', 'pho4', 'art3')",0.5019650655021834,0.2951417004048583,0.574468085106383
"('pho1', 'pho3', 'pro4', 'art2')",0.5024017467248908,0.305019305019305,0.6225374310480694
"('pho1', 'pho4', 'pro1', 'pro3')",0.5102620087336245,0.2873362445414847,0.5185185185185185
"('pho1', 'pho4', 'pro1', 'pro4')",0.5222707423580786,0.28497894244267663,0.4799054373522459
"('pho1', 'pho4', 'pro1', 'art1')",0.5181222707423581,0.29626411815812337,0.5374310480693459
"('pho1', 'pho4', 'pro1', 'art2')",0.540174672489083,0.3231939163498099,0.6028368794326241
"('pho1', 'pho4', 'pro1', 'art3')",0.5104803493449782,0.29359355112431057,0.545311268715524
"('pho1', 'pho4', 'pro2', 'pro4')",0.5041484716157205,0.2775310834813499,0.4925137903861308
"('pho1', 'pho4', 'pro2', 'art2')",0.5041484716157205,0.3166178623718887,0.681639085894405
"('pho1', 'pho4', 'pro3', 'art1')",0.5176855895196506,0.3020219039595619,0.5650118203309693
"('pho1', 'pho4', 'pro3', 'art2')",0.5185589519650655,0.3270509977827051,0.6973995271867612
"('pho1', 'pho4', 'pro3', 'art3')",0.5089519650655022,0.29651162790697677,0.5626477541371159
"('pho1', 'pho4', 'pro4', 'art1')",0.5100436681222708,0.28226887003126394,0.4980299448384555
"('pho1', 'pho4', 'pro4', 'art2')",0.5124454148471616,0.3099369085173502,0.6193853427895981
"('pho1', 'pho4', 'pro4', 'art3')",0.518995633187773,0.2883046237533998,0.5011820330969267
"('pho1', 'pho4', 'art1', 'art2')",0.5157205240174673,0.3328636843959141,0.7446808510638298
"('pho1', 'pho4', 'art1', 'art3')",0.509170305676856,0.2993029930299303,0.5752561071710008
"('pho1', 'pho4', 'art1', 'art4')",0.5019650655021834,0.29313164349959114,0.5650118203309693
"('pho1', 'pho4', 'art2', 'art3')",0.517467248908297,0.3256761763616154,0.6926713947990544
"('pho1', 'pho4', 'art2', 'art4')",0.5279475982532751,0.3188640973630832,0.6193853427895981
"('pho1', 'pho4', 'art3', 'art4')",0.5032751091703057,0.2874049027895182,0.5358550039401103
"('pho1', 'pro1', 'pro4', 'art1')",0.5100436681222708,0.279111916628908,0.4854215918045705
"('pho1', 'pro1', 'pro4', 'art2')",0.5087336244541485,0.30434782608695654,0.6012608353033885
"('pho1', 'pro4', 'art2', 'art4')",0.5021834061135371,0.30230739147438407,0.6091410559495666
"('pho2', 'pho3', 'pho4', 'art1')",0.5334061135371179,0.32021541010770505,0.6091410559495666
"('pho2', 'pho3', 'pho4', 'art3')",0.509170305676856,0.31223628691983124,0.6414499605988968
"('pho2', 'pho3', 'pro1', 'pro3')",0.603056768558952,0.30518097941802697,0.338849487785658
"('pho2', 'pho3', 'pro1', 'art1')",0.5624454148471616,0.3076923076923077,0.46335697399527187
"('pho2', 'pho3', 'pro1', 'art3')",0.6163755458515284,0.33356070941336974,0.38534278959810875
"('pho2', 'pho3', 'pro3', 'art1')",0.5724890829694324,0.32662304982385504,0.5114263199369582
"('pho2', 'pho3', 'pro3', 'art3')",0.5233624454148471,0.303862660944206,0.557919621749409
"('pho2', 'pho3', 'art1', 'art3')",0.5526200873362446,0.3219178082191781,0.5555555555555556
"('pho2', 'pho4', 'pro1', 'art1')",0.5277292576419214,0.30682800345721695,0.5594956658786446
"('pho2', 'pho4', 'pro1', 'art2')",0.511353711790393,0.32336857455340867,0.6989755713159969
"('pho2', 'pho4', 'pro3', 'art1')",0.5039301310043668,0.3095328522597797,0.6422379826635146
"('pho2', 'pho4', 'art1', 'art3')",0.511353711790393,0.3127174333204484,0.6375098502758078
"('pho2', 'pho4', 'art2', 'art4')",0.5093886462882096,0.308984375,0.6233254531126872
"('pho2', 'pro1', 'pro3', 'art1')",0.5558951965065502,0.29686670207116306,0.4405043341213554
"('pho2', 'pro1', 'pro3', 'art3')",0.5731441048034934,0.2858926342072409,0.3609141055949567
"('pho2', 'pro1', 'art1', 'art3')",0.5471615720524018,0.3022113022113022,0.4846335697399527
"('pho2', 'pro3', 'art1', 'art3')",0.5200873362445415,0.3060542797494781,0.5776201733648542
"('pho3', 'pho4', 'pro1', 'art1')",0.511353711790393,0.3045582896329165,0.594956658786446
"('pho3', 'pro1', 'pro3', 'art1')",0.5170305676855895,0.29035126722988,0.5145784081954294
"('pho3', 'pro1', 'art1', 'art3')",0.5063318777292577,0.2928153717627402,0.5524034672970843
"('pho4', 'pro1', 'pro4', 'art2')",0.5074235807860262,0.306090373280943,0.6138691883372734
"('pho4', 'pro1', 'art2', 'art4')",0.5065502183406113,0.3040727560300514,0.6059889676910953
"('pho4', 'art2', 'art3', 'art4')",0.5072052401746725,0.3091190108191654,0.6304176516942475
"('pho1', 'pho2', 'pho3', 'pho4', 'pro3')",0.5133187772925765,0.2972972972972973,0.5547675334909378
"('pho1', 'pho2', 'pho3', 'pho4', 'pro4')",0.5065502183406113,0.28428384849804095,0.5145784081954294
"('pho1', 'pho2', 'pho3', 'pho4', 'art1')",0.5200873362445415,0.30124090714591356,0.5547675334909378
"('pho1', 'pho2', 'pho3', 'pho4', 'art2')",0.524235807860262,0.3244598765432099,0.6627265563435776
"('pho1', 'pho2', 'pho3', 'pho4', 'art3')",0.5141921397379913,0.3005008347245409,0.5673758865248227
"('pho1', 'pho2', 'pho3', 'pro1', 'art1')",0.5222707423580786,0.29730921923246584,0.5311268715524035
"('pho1', 'pho2', 'pho3', 'pro1', 'art2')",0.5065502183406113,0.31762973868237027,0.6800630417651694
"('pho1', 'pho2', 'pho3', 'pro2', 'art2')",0.5010917030567685,0.3158085569253082,0.6863672182821119
"('pho1', 'pho2', 'pho3', 'pro3', 'art1')",0.5237991266375546,0.3010471204188482,0.5437352245862884
"('pho1', 'pho2', 'pho3', 'pro3', 'art3')",0.5106986899563318,0.2990074441687345,0.5697399527186762
"('pho1', 'pho2', 'pho3', 'pro4', 'art1')",0.5069868995633188,0.28583802511909917,0.5200945626477541
"('pho1', 'pho2', 'pho3', 'pro4', 'art2')",0.5078602620087336,0.31021194605009633,0.6343577620173365
"('pho1', 'pho2', 'pho3', 'pro4', 'art3')",0.5106986899563318,0.2875874125874126,0.5185185185185185
"('pho1', 'pho2', 'pho3', 'art1', 'art3')",0.5244541484716158,0.30367170626349893,0.55397951142632
"('pho1', 'pho2', 'pho3', 'art1', 'art4')",0.504585152838428,0.28127734033245844,0.5066981875492513
"('pho1', 'pho2', 'pho3', 'art2', 'art3')",0.5165938864628821,0.32609495767390506,0.698187549251379
"('pho1', 'pho2', 'pho3', 'art2', 'art4')",0.5096069868995633,0.3133358807795185,0.6461780929866037
"('pho1', 'pho2', 'pho4', 'pro1', 'pro3')",0.5100436681222708,0.2962808190555788,0.5587076438140268
"('pho1', 'pho2', 'pho4', 'pro1', 'pro4')",0.5198689956331878,0.29129263913824055,0.5114263199369582
"('pho1', 'pho2', 'pho4', 'pro1', 'art1')",0.518995633187773,0.30025662959794697,0.5531914893617021
"('pho1', 'pho2', 'pho4', 'pro1', 'art2')",0.5305676855895196,0.32499006754072307,0.644602048857368
"('pho1', 'pho2', 'pho4', 'pro1', 'art3')",0.5163755458515283,0.30042194092827,0.5610717100078803
"('pho1', 'pho2', 'pho4', 'pro2', 'pro4')",0.5058951965065502,0.28163444639718804,0.5051221434200157
"('pho1', 'pho2', 'pho4', 'pro2', 'art1')",0.5104803493449782,0.2963583089158644,0.557919621749409
"('pho1', 'pho2', 'pho4', 'pro2', 'art2')",0.5106986899563318,0.31715575620767494,0.6643026004728132
"('pho1', 'pho2', 'pho4', 'pro2', 'art3')",0.5087336244541485,0.29756500206355757,0.5681639085894405
"('pho1', 'pho2', 'pho4', 'pro3', 'pro4')",0.5032751091703057,0.2770390070921986,0.4925137903861308
"('pho1', 'pho2', 'pho4', 'pro3', 'art1')",0.508296943231441,0.29748660898228263,0.5689519306540584
"('pho1', 'pho2', 'pho4', 'pro3', 'art2')",0.5163755458515283,0.31891271056661563,0.6564223798266351
"('pho1', 'pho2', 'pho4', 'pro3', 'art3')",0.5163755458515283,0.30258764607679467,0.5713159968479118
"('pho1', 'pho2', 'pho4', 'pro4', 'art1')",0.5135371179039301,0.28960070206230804,0.5200945626477541
"('pho1', 'pho2', 'pho4', 'pro4', 'art2')",0.5251091703056768,0.31894484412470026,0.6288416075650118
"('pho1', 'pho2', 'pho4', 'pro4', 'art3')",0.5251091703056768,0.29520795660036164,0.5145784081954294
"('pho1', 'pho2', 'pho4', 'pro4', 'art4')",0.5017467248908297,0.27438752783964365,0.4854215918045705
"('pho1', 'pho2', 'pho4', 'art1', 'art2')",0.5179039301310043,0.3277064220183486,0.7037037037037037
"('pho1', 'pho2', 'pho4', 'art1', 'art3')",0.5168122270742358,0.30576131687242797,0.5855003940110323
"('pho1', 'pho2', 'pho4', 'art2', 'art3')",0.5305676855895196,0.3309021113243762,0.6792750197005516
"('pho1', 'pho2', 'pho4', 'art2', 'art4')",0.5224890829694323,0.31476997578692495,0.6146572104018913
"('pho1', 'pho2', 'pro1', 'pro2', 'pro4')",0.5104803493449782,0.28232662192393737,0.49724192277383766
"('pho1', 'pho2', 'pro1', 'pro2', 'art2')",0.5002183406113537,0.31026785714285715,0.6572104018912529
"('pho1', 'pho2', 'pro1', 'pro2', 'art3')",0.5004366812227075,0.28272921108742005,0.5224586288416075
"('pho1', 'pho2', 'pro1', 'pro3', 'art1')",0.517467248908297,0.2942719720157411,0.5303388494877856
"('pho1', 'pho2', 'pro1', 'pro3', 'art2')",0.5024017467248908,0.31296296296296294,0.6658786446020488
"('pho1', 'pho2', 'pro1', 'pro3', 'art3')",0.5063318777292577,0.2907172995780591,0.5429472025216706
"('pho1', 'pho2', 'pro1', 'pro4', 'art1')",0.5074235807860262,0.28250330542089025,0.5051221434200157
"('pho1', 'pho2', 'pro1', 'pro4', 'art2')",0.509825327510917,0.30907668231611896,0.6225374310480694
"('pho1', 'pho2', 'pro1', 'pro4', 'art3')",0.5203056768558952,0.2959542656112577,0.5303388494877856
"('pho1', 'pho2', 'pro1', 'art1', 'art3')",0.50764192139738,0.2942404006677796,0.5555555555555556
"('pho1', 'pho2', 'pro1', 'art1', 'art4')",0.5096069868995633,0.282985339848956,0.5019700551615445
"('pho1', 'pho2', 'pro1', 'art2', 'art3')",0.5192139737991266,0.3281767955801105,0.7021276595744681
"('pho1', 'pho2', 'pro1', 'art2', 'art4')",0.5058951965065502,0.3081081081081081,0.6288416075650118
"('pho1', 'pho2', 'pro2', 'pro3', 'art1')",0.5004366812227075,0.29075975359342915,0.557919621749409
"('pho1', 'pho2', 'pro2', 'pro4', 'art1')",0.5006550218340612,0.27869565217391307,0.5051221434200157
"('pho1', 'pho2', 'pro2', 'pro4', 'art3')",0.505240174672489,0.2822193097422455,0.5090622537431048
"('pho1', 'pho2', 'pro2', 'art1', 'art3')",0.5002183406113537,0.2935222672064777,0.5713159968479118
"('pho1', 'pho2', 'pro2', 'art2', 'art3')",0.5050218340611353,0.3194645441389291,0.6958234830575256
"('pho1', 'pho2', 'pro3', 'pro4', 'art3')",0.5069868995633188,0.2761430511543685,0.4806934594168637
"('pho1', 'pho2', 'pro3', 'art1', 'art3')",0.5120087336244541,0.30204918032786887,0.5807722616233254
"('pho1', 'pho2', 'pro3', 'art2', 'art3')",0.5063318777292577,0.32171099928109276,0.7052797478329393
"('pho1', 'pho2', 'pro3', 'art2', 'art4')",0.5013100436681223,0.30812854442344045,0.6422379826635146
"('pho1', 'pho2', 'pro4', 'art1', 'art4')",0.5041484716157205,0.27812223206377323,0.49487785657998423
